BE_dados_as.dat,CPS_dados_as.dat,SiO2 3/2_1_dados_as.dat,SiO2 1/2_2_dados_as.dat,Si 3/2_3_dados_as.dat,Si 1/2_4_dados_as.dat,Si 1+ 3/2_5_dados_as.dat,Si 1+ 1/2_6_dados_as.dat,Si 3+ 3/2_7_dados_as.dat,Si 3+ 1/2_8_dados_as.dat,Background_dados_as.dat,Envelope_dados_as.dat,Normalised_Residual_dados_as.dat,Residual_dados_as.dat
106.02,41.7648,41.3075,41.1451,40.6778,40.676,40.6842,40.6775,40.8557,40.7933,40.6666,42.1508,0.0597267,0.385988
106,40.4616,41.1103,40.9475,40.4729,40.471,40.4793,40.4725,40.6524,40.5897,40.4616,41.9643,0,0
105.98,41.3409,41.0808,40.9177,40.4355,40.4337,40.442,40.4352,40.6167,40.5536,40.4242,41.9459,0.0940984,0.605023
105.96,41.6627,41.0514,40.8881,40.3981,40.3963,40.4047,40.3979,40.5811,40.5176,40.3868,41.9279,0.0410842,0.265185
105.94,40.9562,41.0222,40.8588,40.3608,40.3589,40.3674,40.3605,40.5454,40.4815,40.3493,41.9103,0.149084,0.954093
105.92,40.6971,40.9932,40.8298,40.3234,40.3215,40.3301,40.3232,40.5098,40.4455,40.3119,41.8933,0.187503,1.19616
105.9,41.5057,40.9642,40.801,40.286,40.2842,40.2927,40.2858,40.4743,40.4095,40.2744,41.8766,0.0575639,0.370855
105.88,42.4164,40.9355,40.7726,40.2486,40.2468,40.2554,40.2485,40.4387,40.3736,40.237,41.8606,-0.0853458,-0.555839
105.86,41.4037,40.9069,40.7444,40.2112,40.2094,40.2181,40.2111,40.4032,40.3376,40.1996,41.845,0.0685777,0.441268
105.84,40.3753,40.8784,40.7167,40.1739,40.172,40.1808,40.1737,40.3676,40.3017,40.1621,41.83,0.228942,1.45473
105.82,40.7128,40.8502,40.6893,40.1365,40.1346,40.1435,40.1364,40.3322,40.2658,40.1247,41.8157,0.172857,1.10294
105.8,40.5715,40.8221,40.6623,40.0991,40.0972,40.1061,40.099,40.2967,40.2299,40.0872,41.802,0.193177,1.23046
105.78,40.4067,40.7942,40.6359,40.0617,40.0598,40.0688,40.0616,40.2612,40.194,40.0497,41.7891,0.217475,1.38241
105.76,41.3958,40.7665,40.6098,40.0242,40.0224,40.0315,40.0243,40.2258,40.1582,40.0123,41.7768,0.0592102,0.380956
105.74,39.7551,40.5192,40.3647,39.7672,39.7653,39.7744,39.7672,39.9707,39.9027,39.7551,41.5457,0,0
105.72,39.5431,40.3174,40.1653,39.5552,39.5533,39.5626,39.5553,39.7608,39.6924,39.5431,41.3607,0,0
105.7,41.0111,40.2928,40.1436,39.5204,39.5185,39.5278,39.5205,39.7281,39.6592,39.5082,41.3535,0.0534725,0.342437
105.68,38.7423,39.5375,39.3919,38.7546,38.7527,38.7621,38.7547,38.9644,38.895,38.7423,40.6167,0,0
